#If you recreated this, remember to remove the last ',' in the file
INSERT INTO DISTRIBUTE(DISTRIBUTOR_NAME, COMPANY_NAME, SERIAL_CODE, DAYS_UNTIL_DELIVERY)VALUES 
( 'AmerisourceBergen Corp', 'Bayer', '202369189', '11' ),
( 'AmerisourceBergen Corp', 'Bayer', '202392228', '1' ),
( 'AmerisourceBergen Corp', 'Bayer', '202349251', '6' ),
( 'AmerisourceBergen Corp', 'Bayer', '202349466', '18' ),
( 'AmerisourceBergen Corp', 'GSK', '202361422', '27' ),
( 'Cardinal Health', 'GSK', '202331378', '10' ),
( 'Cardinal Health', 'GSK', '202356165', '27' ),
( 'Cardinal Health', 'GSK', '202358408', '20' ),
( 'Cardinal Health', 'GSK', '202356589', '19' ),
( 'Cardinal Health', 'GSK', '202356157', '15' ),
( 'Cardinal Health', 'GSK', '202326810', '7' ),
( 'Cardinal Health', 'GSK', '202364931', '2' ),
( 'Cardinal Health', 'GSK', '202361274', '13' ),
( 'Cardinal Health', 'GSK', '202308996', '10' ),
( 'Cardinal Health', 'GSK', '202391408', '6' ),
( 'Cardinal Health', 'GSK', '202339409', '30' ),
( 'CR Pharmaceutical Group', 'GSK', '202306291', '30' ),
( 'CR Pharmaceutical Group', 'GSK', '202318114', '27' ),
( 'CR Pharmaceutical Group', 'GSK', '202397915', '29' ),
( 'CR Pharmaceutical Group', 'GSK', '202357409', '22' ),
( 'CR Pharmaceutical Group', 'GSK', '202396223', '19' ),
( 'CR Pharmaceutical Group', 'GSK', '202362231', '5' ),
( 'CR Pharmaceutical Group', 'GSK', '202325976', '29' ),
( 'CR Pharmaceutical Group', 'GSK', '202354986', '17' ),
( 'CR Pharmaceutical Group', 'GSK', '202388612', '11' ),
( 'CR Pharmaceutical Group', 'GSK', '202311836', '13' ),
( 'CR Pharmaceutical Group', 'GSK', '202342855', '10' ),
( 'CuraScript Special', 'GSK', '202374444', '5' ),
( 'CuraScript Special', 'GSK', '202322129', '11' ),
( 'CuraScript Special', 'GSK', '202396572', '6' ),
( 'CuraScript Special', 'GSK', '202308489', '9' ),
( 'CuraScript Special', 'GSK', '202376114', '28' ),
( 'CuraScript Special', 'GSK', '202333902', '19' ),
( 'CuraScript Special', 'GSK', '202301060', '26' ),
( 'CuraScript Special', 'GSK', '202312570', '14' ),
( 'CuraScript Special', 'GSK', '202367143', '12' ),
( 'CuraScript Special', 'GSK', '202303286', '7' ),
( 'CuraScript Special', 'GSK', '202315799', '10' ),
( 'Dist2', 'GSK', '202345259', '13' ),
( 'Dist2', 'GSK', '202348383', '21' ),
( 'Dist2', 'GSK', '202367315', '27' ),
( 'Dist2', 'GSK', '202397475', '18' ),
( 'Dist2', 'GSK', '202378871', '14' ),
( 'Dist2', 'GSK', '202306951', '7' ),
( 'Dist2', 'GSK', '202359083', '16' ),
( 'Dist2', 'GSK', '202342232', '10' ),
( 'Dist2', 'GSK', '202306280', '11' ),
( 'Dist2', 'GSK', '202314397', '13' ),
( 'Dist2', 'GSK', '202383804', '19' ),
( 'Distribut1', 'GSK', '202383389', '4' ),
( 'Distribut1', 'GSK', '202334279', '7' ),
( 'Distribut1', 'GSK', '202326005', '14' ),
( 'Distribut1', 'GSK', '202385586', '21' ),
( 'Distribut1', 'GSK', '202340271', '13' ),
( 'Distribut1', 'GSK', '202346634', '22' ),
( 'Distribut1', 'GSK', '202376646', '21' ),
( 'Distribut1', 'GSK', '202395259', '17' ),
( 'Distribut1', 'GSK', '202353155', '29' ),
( 'Distribut1', 'GSK', '202305745', '1' ),
( 'Distribut1', 'GSK', '202390456', '2' ),
( 'Drogueria Betances, Inc', 'GSK', '202337837', '5' ),
( 'Drogueria Betances, Inc', 'GSK', '202326315', '15' ),
( 'Drogueria Betances, Inc', 'GSK', '202396562', '10' ),
( 'Drogueria Betances, Inc', 'GSK', '202300200', '18' ),
( 'Drogueria Betances, Inc', 'GSK', '202349764', '20' ),
( 'Drogueria Betances, Inc', 'GSK', '202318205', '8' ),
( 'Drogueria Betances, Inc', 'GSK', '202337398', '2' ),
( 'Drogueria Betances, Inc', 'GSK', '202358739', '3' ),
( 'Drogueria Betances, Inc', 'GSK', '202343156', '11' ),
( 'Drogueria Betances, Inc', 'GSK', '202349857', '9' ),
( 'Drogueria Betances, Inc', 'GSK', '202342671', '28' ),
( 'EzriRx', 'GSK', '202334429', '9' ),
( 'EzriRx', 'GSK', '202322199', '17' ),
( 'EzriRx', 'GSK', '202368136', '25' ),
( 'EzriRx', 'GSK', '202313705', '11' ),
( 'EzriRx', 'GSK', '202344901', '17' ),
( 'EzriRx', 'GSK', '202362911', '15' ),
( 'EzriRx', 'GSK', '202384368', '3' ),
( 'EzriRx', 'GSK', '202320576', '21' ),
( 'EzriRx', 'GSK', '202393228', '19' ),
( 'EzriRx', 'GSK', '202378563', '18' ),
( 'EzriRx', 'GSK', '202398359', '28' ),
( 'FCL Health Solutions', 'GSK', '202389349', '18' ),
( 'FCL Health Solutions', 'GSK', '202314287', '27' ),
( 'FCL Health Solutions', 'GSK', '202316383', '27' ),
( 'FCL Health Solutions', 'GSK', '202359948', '23' ),
( 'FCL Health Solutions', 'GSK', '202341794', '15' ),
( 'FCL Health Solutions', 'GSK', '202308748', '29' ),
( 'FCL Health Solutions', 'GSK', '202332003', '22' ),
( 'FCL Health Solutions', 'GSK', '202380556', '17' ),
( 'FCL Health Solutions', 'GSK', '202393789', '24' ),
( 'FCL Health Solutions', 'GSK', '202353247', '20' ),
( 'FCL Health Solutions', 'GSK', '202385996', '19' ),
( 'Firstline Pharma Ltd', 'GSK', '202381261', '27' ),
( 'Firstline Pharma Ltd', 'GSK', '202309739', '29' ),
( 'Firstline Pharma Ltd', 'GSK', '202310704', '16' ),
( 'Firstline Pharma Ltd', 'GSK', '202329731', '17' ),
( 'Firstline Pharma Ltd', 'GSK', '202357369', '14' ),
( 'Firstline Pharma Ltd', 'GSK', '202353181', '12' ),
( 'Firstline Pharma Ltd', 'GSK', '202326062', '19' ),
( 'Firstline Pharma Ltd', 'GSK', '202313074', '21' ),
( 'Firstline Pharma Ltd', 'GSK', '202323954', '24' ),
( 'Firstline Pharma Ltd', 'GSK', '202338757', '4' ),
( 'Firstline Pharma Ltd', 'GSK', '202336060', '12' ),
( 'Fortissa', 'GSK', '202336009', '16' ),
( 'Fortissa', 'GSK', '202351857', '5' ),
( 'Fortissa', 'GSK', '202397905', '4' ),
( 'Fortissa', 'GSK', '202352866', '11' ),
( 'Fortissa', 'GSK', '202319970', '11' ),
( 'Fortissa', 'GSK', '202323899', '4' ),
( 'Fortissa', 'GSK', '202351269', '22' ),
( 'Fortissa', 'GSK', '202339900', '23' ),
( 'Fortissa', 'GSK', '202340169', '14' ),
( 'Fortissa', 'GSK', '202373242', '29' ),
( 'Fortissa', 'GSK', '202338250', '24' ),
( 'Goodwill Pharma', 'GSK', '202315427', '10' ),
( 'Goodwill Pharma', 'GSK', '202314404', '13' ),
( 'Goodwill Pharma', 'GSK', '202369552', '3' ),
( 'Goodwill Pharma', 'Novartis', '202376333', '3' ),
( 'Goodwill Pharma', 'Novartis', '202331779', '24' ),
( 'Goodwill Pharma', 'Novartis', '202345414', '5' ),
( 'Goodwill Pharma', 'Novartis', '202369688', '10' ),
( 'Goodwill Pharma', 'Novartis', '202360375', '13' ),
( 'Goodwill Pharma', 'Novartis', '202360554', '21' ),
( 'Goodwill Pharma', 'Novartis', '202362360', '12' ),
( 'Goodwill Pharma', 'Novartis', '202376936', '22' ),
( 'H.D. Smith', 'Novartis', '202397765', '28' ),
( 'H.D. Smith', 'Novartis', '202387340', '8' ),
( 'H.D. Smith', 'Novartis', '202310741', '10' ),
( 'H.D. Smith', 'Novartis', '202305832', '10' ),
( 'H.D. Smith', 'Novartis', '202300302', '19' ),
( 'H.D. Smith', 'Novartis', '202331359', '23' ),
( 'H.D. Smith', 'Novartis', '202382384', '12' ),
( 'H.D. Smith', 'Novartis', '202368178', '21' ),
( 'H.D. Smith', 'Novartis', '202381231', '10' ),
( 'H.D. Smith', 'Novartis', '202358239', '16' ),
( 'H.D. Smith', 'Novartis', '202361239', '8' ),
( 'Henry Schein Inc', 'Novartis', '202375733', '19' ),
( 'Henry Schein Inc', 'Novartis', '202365841', '16' ),
( 'Henry Schein Inc', 'Novartis', '202316459', '1' ),
( 'Henry Schein Inc', 'Novartis', '202348373', '1' ),
( 'Henry Schein Inc', 'Novartis', '202394005', '17' ),
( 'Henry Schein Inc', 'Novartis', '202328310', '30' ),
( 'Henry Schein Inc', 'Novartis', '202348108', '2' ),
( 'Henry Schein Inc', 'Novartis', '202348648', '9' ),
( 'Henry Schein Inc', 'Novartis', '202397334', '13' ),
( 'Henry Schein Inc', 'Novartis', '202374593', '9' ),
( 'Henry Schein Inc', 'Novartis', '202370792', '10' ),
( 'Karo Pharma', 'Novartis', '202381851', '14' ),
( 'Karo Pharma', 'Novartis', '202397473', '30' ),
( 'Karo Pharma', 'Novartis', '202353794', '25' ),
( 'Karo Pharma', 'Novartis', '202354975', '30' ),
( 'Karo Pharma', 'Novartis', '202327667', '8' ),
( 'Karo Pharma', 'Novartis', '202307584', '6' ),
( 'Karo Pharma', 'Novartis', '202364236', '30' ),
( 'Karo Pharma', 'Novartis', '202304975', '17' ),
( 'Karo Pharma', 'Novartis', '202377615', '9' ),
( 'Karo Pharma', 'Novartis', '202371727', '18' ),
( 'Karo Pharma', 'Novartis', '202366036', '16' ),
( 'Kolmar', 'Novartis', '202358825', '28' ),
( 'Kolmar', 'Novartis', '202324972', '6' ),
( 'Kolmar', 'Novartis', '202364852', '21' ),
( 'Kolmar', 'Novartis', '202325852', '17' ),
( 'Kolmar', 'Novartis', '202310843', '30' ),
( 'Kolmar', 'Novartis', '202322194', '26' ),
( 'Kolmar', 'Novartis', '202327479', '18' ),
( 'Kolmar', 'Novartis', '202302042', '7' ),
( 'Kolmar', 'Novartis', '202338040', '12' ),
( 'Kolmar', 'Novartis', '202330043', '7' ),
( 'Kolmar', 'Novartis', '202327223', '18' ),
( 'Letco Medical', 'Novartis', '202300821', '29' ),
( 'Letco Medical', 'Novartis', '202329425', '25' ),
( 'Letco Medical', 'Novartis', '202319975', '27' ),
( 'Letco Medical', 'Novartis', '202339623', '30' ),
( 'Letco Medical', 'Novartis', '202305290', '15' ),
( 'Letco Medical', 'Novartis', '202380068', '23' ),
( 'Letco Medical', 'Novartis', '202398919', '22' ),
( 'Letco Medical', 'Novartis', '202359198', '2' ),
( 'Letco Medical', 'Novartis', '202301522', '26' ),
( 'Letco Medical', 'Novartis', '202369541', '6' ),
( 'Letco Medical', 'Novartis', '202304092', '16' ),
( 'Makis', 'Novartis', '202371152', '25' ),
( 'Makis', 'Novartis', '202356168', '7' ),
( 'Makis', 'Novartis', '202373489', '6' ),
( 'Makis', 'Novartis', '202350152', '24' ),
( 'Makis', 'Sanofi', '202380276', '7' ),
( 'Makis', 'Sanofi', '202395296', '26' ),
( 'Makis', 'Sanofi', '202324041', '10' ),
( 'Makis', 'Sanofi', '202307433', '28' ),
( 'Makis', 'Sanofi', '202380175', '25' ),
( 'Makis', 'Sanofi', '202304970', '18' ),
( 'Makis', 'Sanofi', '202315475', '25' ),
( 'Masters Pharmaceutical', 'Sanofi', '202396990', '29' ),
( 'Masters Pharmaceutical', 'Sanofi', '202349481', '5' ),
( 'Masters Pharmaceutical', 'Sanofi', '202323154', '8' ),
( 'Masters Pharmaceutical', 'Sanofi', '202397547', '16' ),
( 'Masters Pharmaceutical', 'Sanofi', '202316872', '2' ),
( 'Masters Pharmaceutical', 'Sanofi', '202375266', '13' ),
( 'Masters Pharmaceutical', 'Sanofi', '202355949', '22' ),
( 'Masters Pharmaceutical', 'Sanofi', '202394297', '19' ),
( 'Masters Pharmaceutical', 'Sanofi', '202347081', '12' ),
( 'Masters Pharmaceutical', 'Sanofi', '202378610', '3' ),
( 'Masters Pharmaceutical', 'Sanofi', '202308235', '21' ),
( 'Mawdsleys', 'Sanofi', '202379075', '13' ),
( 'Mawdsleys', 'Sanofi', '202367698', '13' ),
( 'Mawdsleys', 'Sanofi', '202300431', '24' ),
( 'Mawdsleys', 'Sanofi', '202361893', '13' ),
( 'Mawdsleys', 'Sanofi', '202323585', '7' ),
( 'Mawdsleys', 'Sanofi', '202358088', '6' ),
( 'Mawdsleys', 'Sanofi', '202380411', '3' ),
( 'Mawdsleys', 'Sanofi', '202356348', '9' ),
( 'Mawdsleys', 'Sanofi', '202325810', '26' ),
( 'Mawdsleys', 'Sanofi', '202381011', '16' ),
( 'Mawdsleys', 'Sanofi', '202376946', '5' ),
( 'McKesson Corporation', 'Sanofi', '202305023', '22' ),
( 'McKesson Corporation', 'Sanofi', '202370771', '29' ),
( 'McKesson Corporation', 'Sanofi', '202317257', '20' ),
( 'McKesson Corporation', 'Sanofi', '202341963', '5' ),
( 'McKesson Corporation', 'Sanofi', '202325619', '29' ),
( 'McKesson Corporation', 'Sanofi', '202350193', '3' ),
( 'McKesson Corporation', 'Sanofi', '202388183', '22' ),
( 'McKesson Corporation', 'Sanofi', '202300617', '3' ),
( 'McKesson Corporation', 'Sanofi', '202361374', '6' ),
( 'McKesson Corporation', 'Sanofi', '202331137', '21' ),
( 'McKesson Corporation', 'Sanofi', '202386013', '21' ),
( 'MEDIPAL HOLDINGS', 'Sanofi', '202364368', '11' ),
( 'MEDIPAL HOLDINGS', 'Sanofi', '202302600', '24' ),
( 'MEDIPAL HOLDINGS', 'Sanofi', '202348821', '10' ),
( 'MEDIPAL HOLDINGS', 'Sanofi', '202302820', '22' ),
( 'MEDIPAL HOLDINGS', 'Sanofi', '202302402', '6' ),
( 'MEDIPAL HOLDINGS', 'Sanofi', '202378236', '30' ),
( 'MEDIPAL HOLDINGS', 'Sanofi', '202387635', '12' ),
( 'MEDIPAL HOLDINGS', 'Sanofi', '202308796', '7' ),
( 'MEDIPAL HOLDINGS', 'Sanofi', '202368679', '14' ),
( 'MEDIPAL HOLDINGS', 'Sanofi', '202338461', '14' ),
( 'MEDIPAL HOLDINGS', 'Sanofi', '202322982', '16' ),
( 'Medline Industries', 'Sanofi', '202323364', '25' ),
( 'Medline Industries', 'Sanofi', '202366736', '26' ),
( 'Medline Industries', 'Sanofi', '202311306', '22' ),
( 'Medline Industries', 'Sanofi', '202339855', '17' ),
( 'Medline Industries', 'Sanofi', '202342878', '26' ),
( 'Medline Industries', 'Sanofi', '202317786', '18' ),
( 'Medline Industries', 'Sanofi', '202302731', '1' ),
( 'Medline Industries', 'Sanofi', '202313052', '30' ),
( 'Medline Industries', 'Sanofi', '202357732', '17' ),
( 'Medline Industries', 'Sanofi', '202301071', '26' ),
( 'Medline Industries', 'Sanofi', '202366466', '21' ),
( 'Mockingbird Pharma', 'Sanofi', '202317206', '27' ),
( 'Mockingbird Pharma', 'Sanofi', '202342040', '27' ),
( 'Mockingbird Pharma', 'Sanofi', '202307598', '1' ),
( 'Mockingbird Pharma', 'Sanofi', '202303821', '1' ),
( 'Mockingbird Pharma', 'Sanofi', '202381253', '24' ),
( 'Mockingbird Pharma', 'Sanofi', '202369137', '13' ),
( 'Mockingbird Pharma', 'Sanofi', '202363169', '16' ),
( 'Mockingbird Pharma', 'Sanofi', '202304713', '2' ),
( 'Mockingbird Pharma', 'Sanofi', '202357807', '13' ),
( 'Mockingbird Pharma', 'Sanofi', '202319999', '24' ),
( 'Mockingbird Pharma', 'Sanofi', '202387420', '3' ),
( 'Morris & Dickson', 'Sanofi', '202382764', '20' ),
( 'Morris & Dickson', 'Sanofi', '202369382', '16' ),
( 'Morris & Dickson', 'AstraZeneca', '202359493', '8' ),
( 'Morris & Dickson', 'AstraZeneca', '202363205', '13' ),
( 'Morris & Dickson', 'AstraZeneca', '202396932', '23' ),
( 'Morris & Dickson', 'AstraZeneca', '202349964', '23' ),
( 'Morris & Dickson', 'AstraZeneca', '202374769', '4' ),
( 'Morris & Dickson', 'AstraZeneca', '202398691', '11' ),
( 'Morris & Dickson', 'AstraZeneca', '202384850', '5' ),
( 'Morris & Dickson', 'AstraZeneca', '202379833', '15' ),
( 'Morris & Dickson', 'AstraZeneca', '202379523', '27' ),
( 'Mutual Drug', 'AstraZeneca', '202389305', '21' ),
( 'Mutual Drug', 'AstraZeneca', '202356688', '14' ),
( 'Mutual Drug', 'AstraZeneca', '202332549', '21' ),
( 'Mutual Drug', 'AstraZeneca', '202388843', '30' ),
( 'Mutual Drug', 'AstraZeneca', '202369224', '28' ),
( 'Mutual Drug', 'AstraZeneca', '202377966', '3' ),
( 'Mutual Drug', 'AstraZeneca', '202347827', '28' ),
( 'Mutual Drug', 'AstraZeneca', '202311636', '16' ),
( 'Mutual Drug', 'AstraZeneca', '202396033', '4' ),
( 'Mutual Drug', 'AstraZeneca', '202316048', '4' ),
( 'Mutual Drug', 'AstraZeneca', '202331875', '10' ),
( 'OTC Direct', 'AstraZeneca', '202343991', '20' ),
( 'OTC Direct', 'AstraZeneca', '202369742', '9' ),
( 'OTC Direct', 'AstraZeneca', '202338542', '29' ),
( 'OTC Direct', 'AstraZeneca', '202367607', '7' ),
( 'OTC Direct', 'AstraZeneca', '202388190', '14' ),
( 'OTC Direct', 'AstraZeneca', '202395130', '26' ),
( 'OTC Direct', 'AstraZeneca', '202305333', '8' ),
( 'OTC Direct', 'AstraZeneca', '202365794', '9' ),
( 'OTC Direct', 'AstraZeneca', '202383027', '19' ),
( 'OTC Direct', 'AstraZeneca', '202335774', '6' ),
( 'OTC Direct', 'AstraZeneca', '202369404', '5' ),
( 'Owens & Minor, Inc', 'AstraZeneca', '202380553', '25' ),
( 'Owens & Minor, Inc', 'AstraZeneca', '202372774', '14' ),
( 'Owens & Minor, Inc', 'AstraZeneca', '202366239', '18' ),
( 'Owens & Minor, Inc', 'AstraZeneca', '202382642', '15' ),
( 'Owens & Minor, Inc', 'AstraZeneca', '202384014', '23' ),
( 'Owens & Minor, Inc', 'AstraZeneca', '202359923', '16' ),
( 'Owens & Minor, Inc', 'AstraZeneca', '202365157', '16' ),
( 'Owens & Minor, Inc', 'Roche', '202397883', '19' ),
( 'Owens & Minor, Inc', 'Roche', '202332989', '8' ),
( 'Owens & Minor, Inc', 'Roche', '202358563', '10' ),
( 'Owens & Minor, Inc', 'Roche', '202375184', '25' ),
( 'Premium Rx National, LLC', 'Roche', '202370627', '21' ),
( 'Premium Rx National, LLC', 'Roche', '202338425', '21' ),
( 'Premium Rx National, LLC', 'Roche', '202399058', '11' ),
( 'Premium Rx National, LLC', 'Roche', '202358642', '9' ),
( 'Premium Rx National, LLC', 'Roche', '202389197', '7' ),
( 'Premium Rx National, LLC', 'Roche', '202316632', '22' ),
( 'Premium Rx National, LLC', 'Roche', '202370499', '13' ),
( 'Premium Rx National, LLC', 'Roche', '202327624', '17' ),
( 'Premium Rx National, LLC', 'Roche', '202352578', '4' ),
( 'Premium Rx National, LLC', 'Roche', '202319210', '13' ),
( 'Premium Rx National, LLC', 'Roche', '202358150', '2' ),
( 'Prodigy Health', 'Roche', '202301764', '1' ),
( 'Prodigy Health', 'Roche', '202352385', '22' ),
( 'Prodigy Health', 'Roche', '202302429', '5' ),
( 'Prodigy Health', 'Roche', '202372547', '30' ),
( 'Prodigy Health', 'Roche', '202323264', '19' ),
( 'Prodigy Health', 'Roche', '202361103', '9' ),
( 'Prodigy Health', 'Roche', '202332397', '11' ),
( 'Prodigy Health', 'Roche', '202366213', '8' ),
( 'Prodigy Health', 'Roche', '202307006', '12' ),
( 'Prodigy Health', 'Roche', '202314135', '16' ),
( 'Prodigy Health', 'Roche', '202343141', '11' ),
( 'QK Healthcare Inc', 'Roche', '202305984', '4' ),
( 'QK Healthcare Inc', 'Roche', '202356350', '16' ),
( 'QK Healthcare Inc', 'Roche', '202368628', '8' ),
( 'QK Healthcare Inc', 'Roche', '202311028', '29' ),
( 'QK Healthcare Inc', 'Roche', '202310705', '15' ),
( 'QK Healthcare Inc', 'Roche', '202328257', '13' ),
( 'QK Healthcare Inc', 'Roche', '202370423', '29' ),
( 'QK Healthcare Inc', 'Roche', '202385123', '30' ),
( 'QK Healthcare Inc', 'Roche', '202308481', '22' ),
( 'QK Healthcare Inc', 'Roche', '202338071', '22' ),
( 'QK Healthcare Inc', 'Roche', '202368335', '23' ),
( 'R&S Northeast LLC', 'Roche', '202335818', '14' ),
( 'R&S Northeast LLC', 'Roche', '202366509', '16' ),
( 'R&S Northeast LLC', 'Roche', '202315668', '20' ),
( 'R&S Northeast LLC', 'Roche', '202388436', '3' ),
( 'R&S Northeast LLC', 'Roche', '202360106', '10' ),
( 'R&S Northeast LLC', 'Roche', '202330701', '22' ),
( 'R&S Northeast LLC', 'Roche', '202366982', '15' ),
( 'R&S Northeast LLC', 'Roche', '202375427', '30' ),
( 'R&S Northeast LLC', 'Roche', '202332663', '6' ),
( 'R&S Northeast LLC', 'Roche', '202360305', '4' ),
( 'R&S Northeast LLC', 'Roche', '202387034', '14' ),
( 'RxOneShop', 'Roche', '202357027', '3' ),
( 'RxOneShop', 'Roche', '202310863', '22' ),
( 'RxOneShop', 'Roche', '202399516', '29' ),
( 'RxOneShop', 'Roche', '202384285', '13' ),
( 'RxOneShop', 'Roche', '202388174', '22' ),
( 'RxOneShop', 'Roche', '202374444', '9' ),
( 'RxOneShop', 'Roche', '202330414', '24' ),
( 'RxOneShop', 'Roche', '202381550', '24' ),
( 'RxOneShop', 'Roche', '202393845', '2' ),
( 'RxOneShop', 'Roche', '202303183', '27' ),
( 'RxOneShop', 'Roche', '202386298', '8' ),
( 'Safe Chain Solutions', 'Roche', '202354215', '26' ),
( 'Safe Chain Solutions', 'Roche', '202315345', '17' ),
( 'Safe Chain Solutions', 'Roche', '202340211', '9' ),
( 'Safe Chain Solutions', 'Roche', '202367968', '20' ),
( 'Safe Chain Solutions', 'Roche', '202365495', '20' ),
( 'Safe Chain Solutions', 'Roche', '202327703', '11' ),
( 'Safe Chain Solutions', 'Roche', '202318864', '9' ),
( 'Safe Chain Solutions', 'Roche', '202323506', '10' ),
( 'Safe Chain Solutions', 'Roche', '202359122', '15' ),
( 'Safe Chain Solutions', 'Roche', '202349743', '12' ),
( 'Safe Chain Solutions', 'Roche', '202376210', '22' ),
( 'Sigma PLC', 'Roche', '202326837', '10' ),
( 'Sigma PLC', 'Roche', '202356962', '12' ),
( 'Sigma PLC', 'Roche', '202316660', '6' ),
( 'Sigma PLC', 'Roche', '202358369', '8' ),
( 'Sigma PLC', 'Novo Nordisk', '202301991', '27' ),
( 'Sigma PLC', 'Novo Nordisk', '202322398', '23' ),
( 'Sigma PLC', 'Novo Nordisk', '202341211', '25' ),
( 'Sigma PLC', 'Novo Nordisk', '202392928', '20' ),
( 'Sigma PLC', 'Novo Nordisk', '202371351', '22' ),
( 'Sigma PLC', 'Novo Nordisk', '202356347', '16' ),
( 'Sigma PLC', 'Novo Nordisk', '202367552', '12' ),
( 'SINOPHARM HOLDING CO LTD', 'Novo Nordisk', '202344829', '30' ),
( 'SINOPHARM HOLDING CO LTD', 'Novo Nordisk', '202300714', '4' ),
( 'SINOPHARM HOLDING CO LTD', 'Novo Nordisk', '202357122', '9' ),
( 'SINOPHARM HOLDING CO LTD', 'Novo Nordisk', '202338322', '16' ),
( 'SINOPHARM HOLDING CO LTD', 'Novo Nordisk', '202340408', '25' ),
( 'SINOPHARM HOLDING CO LTD', 'Novo Nordisk', '202334073', '14' ),
( 'SINOPHARM HOLDING CO LTD', 'Novo Nordisk', '202391315', '5' ),
( 'SINOPHARM HOLDING CO LTD', 'Novo Nordisk', '202390850', '20' ),
( 'SINOPHARM HOLDING CO LTD', 'Novo Nordisk', '202346114', '9' ),
( 'SINOPHARM HOLDING CO LTD', 'Novo Nordisk', '202379496', '15' ),
( 'SINOPHARM HOLDING CO LTD', 'Novo Nordisk', '202394294', '18' ),
( 'Smith Drug Company', 'Novo Nordisk', '202350664', '2' ),
( 'Smith Drug Company', 'Novo Nordisk', '202369931', '11' ),
( 'Smith Drug Company', 'Novo Nordisk', '202304608', '16' ),
( 'Smith Drug Company', 'Novo Nordisk', '202325857', '8' ),
( 'Smith Drug Company', 'Novo Nordisk', '202350192', '18' ),
( 'Smith Drug Company', 'Novo Nordisk', '202388379', '3' ),
( 'Smith Drug Company', 'Novo Nordisk', '202359104', '18' ),
( 'Smith Drug Company', 'Novo Nordisk', '202302526', '29' ),
( 'Smith Drug Company', 'Novo Nordisk', '202351124', '13' ),
( 'Smith Drug Company', 'Novo Nordisk', '202391610', '8' ),
( 'Smith Drug Company', 'Novo Nordisk', '202335699', '1' ),
( 'SUZUKEN', 'Novo Nordisk', '202317144', '19' ),
( 'SUZUKEN', 'Novo Nordisk', '202306549', '26' ),
( 'SUZUKEN', 'Novo Nordisk', '202391254', '13' ),
( 'SUZUKEN', 'Novo Nordisk', '202311526', '16' ),
( 'SUZUKEN', 'Novo Nordisk', '202317665', '19' ),
( 'SUZUKEN', 'Novo Nordisk', '202340910', '30' ),
( 'SUZUKEN', 'Novo Nordisk', '202302483', '14' ),
( 'SUZUKEN', 'Novo Nordisk', '202394381', '2' ),
( 'SUZUKEN', 'Novo Nordisk', '202329032', '26' ),
( 'SUZUKEN', 'Novo Nordisk', '202305100', '7' ),
( 'SUZUKEN', 'Novo Nordisk', '202318362', '15' ),
( 'TopRx', 'Novo Nordisk', '202392453', '8' ),
( 'TopRx', 'Novo Nordisk', '202350077', '18' ),
( 'TopRx', 'Novo Nordisk', '202306666', '17' ),
( 'TopRx', 'Novo Nordisk', '202396410', '1' ),
( 'TopRx', 'Novo Nordisk', '202367623', '14' ),
( 'TopRx', 'Novo Nordisk', '202359625', '8' ),
( 'TopRx', 'Novo Nordisk', '202335952', '21' ),
